Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ярош,Анжела,Михайлівна,жіноча,1998-12-01,Науковець,селище Яремче,"набережна Пересипська 1-ша, буд. 875, Городок, 41386",+380 (97) 756-91-89,verhunmykhailo@example.com
Шелест,Едуард,Артемович,чоловіча,1945-12-15,Педагог,селище Фастів,"парк Дунаєва, буд. 1, Брянка, 63574",+380 09 381 53 82,idubas@example.com
Міщенко,Розалія,Романівна,жіноча,1988-02-24,Медик,місто Красногорівка,"шосе Лазурний 5-й, буд. 3, Рудки, 57053",+380 45 406-92-26,nazarenkoievhen@example.com
Колесниченко,Арсен,Ігоревич,чоловіча,1961-09-17,Педагог,хутір Миронівка,"парк Училищна, буд. 564 кв. 54, Хуст, 66693",083 249 34 22,sviatoslavvivcharenko@example.net
Їжакевич,Наталія,Олександрівна,жіноча,1959-08-22,Вчитель,селище Южноукраїнськ,"вулиця Елеваторна, буд. 9, Радивилів, 35776",557 22 55,bohodar94@example.org
Терещенко,Пармен,Олександрович,чоловіча,1980-07-13,Складальник,село Жданівка,"вулиця Баштанна, буд. 8, Кодима, 13224",114-83-41,tovstolisleon@example.com
Радченко,Марта,Петрівна,жіноча,1982-02-12,Вчитель,селище Хотин,"шосе Хаджибейський 1-й, буд. 9 кв. 48, Кропивницький, 89417",+380 03 634-22-08,frants81@example.net
Швайка,Єфрем,Андрійович,чоловіча,1958-07-10,Піаніст,селище Ялта,"вулиця Амурська, буд. 296 кв. 442, Куп'янськ, 55189",+380 93 688-67-10,zatulamykhailyna@example.net
Полтавець,Климент,Вікторович,чоловіча,1990-08-08,Штукатур,хутір Кальміуське,"шосе Локомотивний 3-й, буд. 7, Світловодськ, 86516",076-92-89,rhohol@example.net
Корпанюк,Пріска,Геннадіївна,жіноча,1972-01-21,Бібліограф,село Городок,"вулиця Кипарисний 2-й, буд. 09, Краматорськ, 81237",+380 (75) 657-56-92,stepanokhrymovych@example.org
Голобородько,Аркадій,Сергійович,чоловіча,1967-04-22,Актор,селище Городок,"провулок Товарний, буд. 5 кв. 267, Заставна, 07463",065 288-97-34,andriichukalbina@example.com
Усик,Анастасія,Юріївна,жіноча,1963-10-27,Соціолог,село Яготин,"вулиця Чорноморський 7-й, буд. 6 кв. 960, Федорівка, 68312",451 83 38,ivan83@example.com
Ткач,Микита,Геннадійович,чоловіча,1956-03-04,Громадський діяч,селище Київ,"набережна Дністровська, буд. 14 кв. 891, Українськ, 46711",+380 24 099 74 15,liubovmatviienko@example.com
Гузенко,Марта,Леонідівна,жіноча,2000-03-03,Головний меркшейдер,село Коломия,"шосе Колонічна, буд. 650 кв. 451, Алупка, 63290",423-60-42,sbaklan@example.com
Колесниченко,Мирон,Геннадійович,чоловіча,1954-08-08,Мовознавець,місто Алчевськ,"узвіз Костанді, буд. 35, Родинське, 83799",+380 (06) 554-35-16,daryna69@example.net
Ватаманюк,Вікторія,Артемівна,жіноча,1984-12-18,Економіст,селище Каховка,"провулок Суворовська, буд. 7, Мукачево, 17953",+380 70 338 79 85,qhavrylets@example.com
Титаренко,Марко,Юрійович,чоловіча,1966-05-22,Антрополог,селище Тараща,"вулиця Дем’янова, буд. 029, Іршава, 35497",+380 57 537-91-62,iaroshvladyslav@example.org
Лупій,Валерій,Юрійович,чоловіча,1989-09-30,Сценарист,село Дебальцеве,"шосе Терещенка Володимира, буд. 8 кв. 2, Армянськ, 24592",067 037 14 41,maksymdrobakha@example.com
Скирда,Данило,Федорович,чоловіча,1999-01-04,Юрист,місто Білозерське,"шосе Монгольська, буд. 615 кв. 9, Горохів, 19989",062 538-82-39,aatamanchuk@example.net
Дубас,Орина,Сергіївна,жіноча,1957-05-11,Громадський діяч,місто Кам'янка (Черкаська область),"набережна Достоєвського, буд. 09, Кривий Ріг, 09343",+380 (71) 366-18-25,tychynaliubov@example.org
Лаба,Леонтій,Павлович,чоловіча,1945-03-17,Професор,хутір Тетіїв,"набережна Іванова, буд. 8, Шпола, 30397",+380 13 468-05-98,arkadii58@example.org
Даценко,Семен,Павлович,чоловіча,2005-06-30,Візажист,село Єнакієве,"узвіз Глазунова 1-й, буд. 1, Миргород, 32310",+380 61 207-55-91,ievhenbashpolchenko@example.org
Ірванець,Ярема,Артемович,чоловіча,1983-08-18,Літературознавець,селище Новомосковськ,"проспект Морський 2-й, буд. 282, Тиврів, 33329",080 318 52 01,vdovenkoliza@example.net
Матяш,Веніямин,Сергійович,чоловіча,1993-05-10,Сантехнік,хутір Володимир-Волинський,"вулиця Раїси Сергієнко, буд. 53, Молочанськ, 97042",+380 (09) 126-24-52,sahalerika@example.net
Худяк,Максим,Іванович,чоловіча,1988-08-29,Геолог,хутір Олевськ,"парк Середня, буд. 818 кв. 554, Південне , 18404",+380 18 450-64-80,okhrim42@example.com
Шеремет,Микита,Артемович,чоловіча,1983-10-15,Клавішник,селище Помічна,"провулок Балтський 2-й, буд. 4, Підгайці, 47353",+380 16 132-24-69,dzabara@example.com
Данилюк,Теодор,Ігоревич,чоловіча,1978-01-21,Дерун,село Горішні Плавні,"парк Металістів, буд. 89 кв. 904, Малин, 35684",+380 68 266-77-28,makarenkoievhen@example.org
Швачка,Ірена,Іванівна,жіноча,1991-11-02,Режисер,хутір Алупка,"вулиця Гладкова, буд. 22 кв. 923, Хорол , 59212",058 881 90 87,chuprynaheorhii@example.com
Бездітко,Тимофій,Петрович,чоловіча,1970-04-29,Електрослюсар,селище Кіцмань,"площа Набережна, буд. 3, Жовква, 99844",251-01-11,petrenkopanteleimon@example.net
Бабиченко,Олекса,Петрович,чоловіча,1971-01-26,Лікар,місто Буча,"сквер Уральський, буд. 39, Сєвєродонецьк, 94541",+380 (72) 803-63-25,iustynaradchenko@example.net
Дейсун,Ада,Вікторівна,жіноча,1941-04-16,Фізик,хутір Тараща,"набережна Лермонтовський, буд. 1, Сокаль, 40374",+380 32 625-32-55,panteleimonvivcharenko@example.org
Андрієнко,Маруся,Петрівна,жіноча,1988-10-13,Патологоанатом,місто Мар'їнка,"сквер Тарутинська, буд. 90 кв. 472, Добропілля, 94634",989 20 47,iaroslava31@example.com
Авраменко,Богуслава,Олександрівна,жіноча,1968-02-04,Стропальник,селище Бровари,"парк Східчастий 3-й, буд. 69, Борзна, 07194",090 588-78-63,ustymkaras@example.net
Бгиденко,Геннадій,Миколайович,чоловіча,1989-08-10,Зоолог,село Зіньків,"площа Висоцького, буд. 6 кв. 35, Комарно, 72904",080 375 00 32,martynvysochan@example.org
Шеремета,Богдан,Дмитрович,чоловіча,1979-06-22,Мікробіолог,селище Лисичанськ,"набережна Павлодарська, буд. 182, Лохвиця, 49825",+380 79 046-68-79,qshovkoplias@example.org
Жайворон,Ярослав,Вікторович,чоловіча,1957-05-20,Хореограф,місто Олевськ,"узвіз Варненська, буд. 80 кв. 125, Чистякове, 40630",+380 81 328 21 83,tsymbalvolodymyra@example.org
Гузенко,Богуслав,Іванович,чоловіча,1994-07-25,Астрофізик,село Апостолове,"провулок Пісочна, буд. 1, Сколе, 60556",254-02-01,nazardanyliuk@example.org
Вітрук,Аврелій,Миколайович,чоловіча,2002-06-13,Астрофізик,село Алмазна,"площа Лиманчик 2-й Лінія 5-та, буд. 24 кв. 5, Косів, 20879",+380 15 947-55-75,panasvysochan@example.com
Швачко,Мирослав,Юрійович,чоловіча,1993-10-09,Медик,село Алупка,"узвіз Сурикова 2-й, буд. 474 кв. 238, Соледар, 01570",+380 80 378-89-02,violettadashkevych@example.org
Девдюк,Остап,Артемович,чоловіча,1983-07-14,Кінорежисер,село Яготин,"вулиця Лучиста, буд. 2 кв. 987, Чорнобиль, 12170",212-19-93,mykhailynamasliak@example.net
Байрак,Любов,Петрівна,жіноча,1955-06-09,Кіноактор,селище Селидове,"проспект 19-та Лінія, буд. 3 кв. 38, Федорівка, 55641",+380 03 339-41-01,eduardzatula@example.net
Петлюра,Соломія,Вікторівна,жіноча,1950-01-11,М'ясник,село Ямпіль,"шосе Рівності, буд. 4 кв. 778, Тетіїв, 51312",+380 58 221-73-80,stanislav01@example.com
Палій,Степан,Михайлович,чоловіча,2001-05-30,Слідчий,село Ківерці,"набережна Десятого квітня, буд. 5 кв. 31, Новоселиця, 71909",952 29 71,somkooleksa@example.net
Давимука,Зорян,Юрійович,чоловіча,1942-06-25,Фольклорист,хутір Жмеринка,"площа 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 774, Біла Церква, 39485",937 62 68,hlibbashpolchenko@example.com
Бабенко,Владислав,Дмитрович,чоловіча,1985-12-20,Слідчий,село Молодогвардійськ,"вулиця Балтський 2-й, буд. 8 кв. 5, Нетішин, 18468",071 351 04 09,vermenycholeksandr@example.org
Чаленко,Захар,Васильович,чоловіча,1986-08-19,Прокурор,селище Ладижин,"шосе Сортувальна 1-ша, буд. 0, Кривий Ріг, 79135",004 920 70 72,bazylevychdmytro@example.org
Литвин,Венедикт,Олександрович,чоловіча,1944-05-31,Журналіст,село Овруч,"шосе Толбухіна, буд. 89, Ржищів, 31694",007 536 83 41,vadym90@example.org
Демиденко,Одарка,Василівна,жіноча,1939-05-12,Редактор,місто Березівка,"шосе Авангардна, буд. 74 кв. 80, Погребище, 91790",+380 42 848 71 22,vadymiaremko@example.org
Рудько,Леопольд,Іванович,чоловіча,1946-02-10,Продюсер,хутір Охтирка,"площа 6-та Суворовська, буд. 3 кв. 3, Комарно, 20472",889 02 97,violettahavrysh@example.net
Козаченко,Олена,Павлівна,жіноча,1970-01-12,Правник,місто Стрий,"провулок Манежна, буд. 63 кв. 4, Бурштин , 88100",+380 70 904 71 32,stanislavchupryna@example.org
Червоненко,Пріска,Леонідівна,жіноча,1946-09-23,Візажист,хутір Таврійськ,"провулок Лінійна, буд. 8, Бобровиця, 15723",004 665-60-61,zorianiaremko@example.org
Єрошенко,Демид,Павлович,чоловіча,1969-10-02,Вчитель,місто Брянка,"провулок Спортивна, буд. 5 кв. 3, Селидове, 91575",+380 40 631-04-11,leopold41@example.net
Ященко,Андрій,Андрійович,чоловіча,1990-03-04,Етнограф,місто Хрестівка,"вулиця Академіка Богатського, буд. 46, Білозерське, 51040",+380 41 547-16-82,liubovsirobaba@example.org
Голобородько,Венедикт,Петрович,чоловіча,1941-08-08,Клавішник,селище Каховка,"узвіз Лінія 50-та, буд. 0, Великі Мости, 54260",+380 (43) 016-59-94,nhavrylyshyn@example.org
Байдак,Лілія,Сергіївна,жіноча,1945-11-30,Юрист,місто Первомайський ,"площа Макарова, буд. 49, Кагарлик, 58016",+380 26 177 13 64,fiermolenko@example.com
Єресько,Анастасія,Михайлівна,жіноча,1982-01-02,Державний службовець,село Харцизьк,"узвіз Писарева, буд. 53 кв. 26, Хуст, 77189",+380 54 779-68-32,oandriiovych@example.net
Каденюк,Володимира,Павлівна,жіноча,1975-06-29,Агроном,місто Алушта,"провулок Партизанська, буд. 248 кв. 34, Ніжин, 48017",+380 (99) 351-60-51,myroslavkalenychenko@example.org
Шевченко,Венедикт,Ігоревич,чоловіча,1940-03-27,Ветеринар,місто Ковель,"узвіз Літакова, буд. 158, Нововолинськ, 38269",+380 35 005-64-14,kamillaiashchuk@example.org
Андрійович,Геннадій,Васильович,чоловіча,1997-11-12,Дерун,місто Вугледар,"шосе Політкаторжан, буд. 57 кв. 407, Зимогір'я, 04809",+380 71 152 41 74,mariana15@example.com
Демʼяненко,Святослава,Юріївна,жіноча,1952-01-14,Перекладач,село Суми,"проспект Балтський 2-й, буд. 49, Миколаїв, 04509",+380 41 313-47-29,okseniia54@example.com
Гречко,Олекса,Романович,чоловіча,1982-02-13,Модельєр,хутір Балта,"провулок Глазунова 2-й, буд. 46, Ізюм, 26815",972 77 85,lukian46@example.net
Дубас,Мартин,Павлович,чоловіча,1969-01-22,Доцент,місто Білогірськ,"вулиця Слобідський узвіз, буд. 7 кв. 4, Костянтинівка, 79191",+380 13 475-61-12,turkaloroman@example.net
Заїка,Франц,Петрович,чоловіча,1970-01-15,Будник,місто Радехів,"провулок Дорожня, буд. 3 кв. 8, Покров, 17101",452-95-99,mariia58@example.org
Хмара,Лесь,Андрійович,чоловіча,1985-09-18,Стоматолог,місто Кропивницький,"провулок Олександра Невського, буд. 5 кв. 34, Яготин, 87325",065 884 98 46,bvlokh@example.com
Абрамчук,Арсен,Ігоревич,чоловіча,1948-04-06,Стропальник,хутір Лисичанськ,"набережна 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 02, Федорівка, 65438",060 285-79-98,petroderehus@example.com
Москаль,Арсен,Михайлович,чоловіча,1950-11-06,Візажист,хутір Амвросіївка,"вулиця Соляний 7-й, буд. 01 кв. 409, Сколе, 07715",+380 07 673 54 86,petrykzakhar@example.com
Бараник,Зиновій,Іванович,чоловіча,1987-09-18,Фізик,селище Сміла,"сквер Лінія 54-та, буд. 96 кв. 3, Збараж, 89521",078 071 13 82,frantsvasylashko@example.com
Рудик,Святослава,Максимівна,жіноча,1982-09-24,Зоолог,селище Ужгород,"вулиця Василя Симоненка, буд. 9 кв. 7, Тисмениця, 73325",+380 (51) 843-73-14,oleksandr15@example.com
Величко,Сергій,Леонідович,чоловіча,1953-07-27,Штукатур,хутір Камінь-Каширський,"провулок Пироговська, буд. 83 кв. 9, Ватутіне, 58337",852-70-54,vasyl31@example.com
Байда,Зорян,Іванович,чоловіча,1948-03-13,Футболіст,селище Амвросіївка,"вулиця Олександра Невського 4-й, буд. 71 кв. 59, Тисмениця, 65145",224 10 77,ilavrenko@example.net
Євтушенко,Тереза,Петрівна,жіноча,1992-04-06,Клоун,селище Пологи ,"провулок Моторний 2-й, буд. 06 кв. 68, Калинівка , 65857",321 28 82,varfolomiikaras@example.net
Запорожець,Тетяна,Артемівна,жіноча,1952-08-17,Складальник,місто Шахтарськ,"проспект Чорноморський 13-й, буд. 0 кв. 60, Путивль, 04298",065 271 41 39,ashvedchenko@example.org
Мамчур,Віолетта,Ігорівна,жіноча,1970-11-05,Гірник,село Самбір,"вулиця Воронезька, буд. 64 кв. 56, Шпола, 92788",+380 81 755-38-44,tokarsnizhana@example.org
Михайлюк,Тарас,Павлович,чоловіча,1991-09-23,Дизайнер,селище Деражня,"парк Нова, буд. 781 кв. 42, Коростень, 02989",+380 (33) 766-22-22,larysazinchuk@example.net
Аронець,Орися,Максимівна,жіноча,1965-07-31,Фізик,село Погребище,"шосе Черешнева, буд. 564, Алмазна, 19162",076 334-17-96,piermolenko@example.net
Чуйко,Макар,Геннадійович,чоловіча,1979-10-14,Скульптор,селище Нікополь,"проспект Квітнева, буд. 5, Бучач, 92217",+380 51 063-56-75,dmytroshovkoplias@example.net
Ярема,Роман,Ігоревич,чоловіча,1951-12-20,Агроном,хутір Тячів,"узвіз Змієнка Всеволода, буд. 32 кв. 176, Носівка, 15149",465-86-18,dholoborodko@example.net
Бевзенко,Роксолана,Леонідівна,жіноча,1938-10-24,Водій,село Новодружеськ,"набережна Молокова, буд. 756 кв. 72, Брянка, 22921",368 64 53,klyment91@example.com
Червоненко,Ростислав,Артемович,чоловіча,1958-11-11,Музикознавець,селище Новий Буг,"проспект Ашгабатська, буд. 421 кв. 534, Боярка, 96691",+380 (93) 060-26-06,mazepaamaliia@example.org
Баран,Світлана,Леонідівна,жіноча,1963-02-19,Математик,селище Чистякове,"провулок Зелена балка, буд. 720 кв. 78, Дубляни, 96835",+380 (83) 922-35-72,venedyktchernenko@example.net
Артимович,Ігор,Геннадійович,чоловіча,1996-09-25,Композитор,хутір Кременець,"сквер Житомирський 3-й, буд. 989, Корюківка, 66806",003 317 84 64,liubov37@example.org
Цибуленко,Емілія,Андріївна,жіноча,2003-02-16,Музикант,село Рогатин,"набережна Анни Ахматової, буд. 4, Гребінка, 02765",100 94 99,iryna66@example.com
Чередник,Варфоломій,Дмитрович,чоловіча,1984-10-27,Фізик,село Хмільник,"проспект Привозна, буд. 1, Херсон, 68122",+380 42 921-95-29,lzasenko@example.org
Короленко,Ілля,Максимович,чоловіча,1973-07-27,М'ясник,селище Татарбунари,"набережна Скляний 1-й, буд. 747 кв. 9, Підгайці, 87086",+380 (62) 365-99-30,poltavetsmartyn@example.com
Єфименко,Альбіна,Олегівна,жіноча,1953-07-23,Бібліотекар,місто Горішні Плавні,"площа Агрономічна, буд. 5 кв. 3, Валки , 51916",796 46 43,sshyian@example.org
Лазаренко,Одарка,Артемівна,жіноча,1959-12-21,Фермер,місто Кадіївка,"шосе Чорноморський 1-й, буд. 2, Дергачі, 47049",331 62 62,babiiandrii@example.net
Титаренко,Галина,Леонідівна,жіноча,1986-02-22,Астронавт,селище Святогірськ,"набережна Сінна, буд. 28 кв. 1, Новогродівка, 97252",817 27 54,okseniia63@example.org
Цюпа,Орхип,Ігоревич,чоловіча,2005-06-09,Кінорежисер,місто Шостка,"узвіз Шухевича Романа, буд. 1, Кагарлик, 54619",068 336-71-63,zkovpak@example.org
Засуха,Ліза,Максимівна,жіноча,2002-05-08,Слідчий,місто Скалат,"набережна Хімічний 2-й, буд. 57 кв. 66, Жовква, 38463",066 285-95-29,stefan15@example.com
Лесик,Юстим,Миколайович,чоловіча,2002-12-20,Дипломат,хутір Кіцмань,"парк Черепанових, буд. 686 кв. 49, Дергачі, 65029",770-53-17,hryhoriisliusar@example.com
Козак,Марко,Ігоревич,чоловіча,1962-02-22,Геолог,місто Валки ,"проспект Херсонський, буд. 56 кв. 5, Алушта, 35386",+380 18 789-74-49,edyta50@example.net
Хорішко,Мартин,Вікторович,чоловіча,1962-12-20,Фармацевт,село Прилуки,"сквер Юннатів 2-й, буд. 007, Батурин, 94262",+380 97 724-16-98,ypanchuk@example.org
Вдовенко,Ада,Вікторівна,жіноча,1957-02-11,Палеонтолог,село Тараща,"площа Восьмого березня 9-й, буд. 19, Коростень, 76883",000 839-87-28,bsyrotenko@example.org
Гук,Азар,Олександрович,чоловіча,1958-12-12,Прокурор,хутір Бурштин ,"узвіз Лузанівка, буд. 160, Херсон, 88214",+380 23 170 35 42,ievhen26@example.org
Сомко,Олександр,Юрійович,чоловіча,1941-11-11,Хореограф,селище Бершадь,"проспект Шкіперська, буд. 1 кв. 6, Герца, 97176",+380 (00) 827-40-31,jpavlenko@example.com
Слюсар,Зорян,Михайлович,чоловіча,1954-05-03,Пекар,село Чигирин,"площа Нова, буд. 85, Донецьк, 98409",004 644 74 35,bohodar55@example.org
Вдовенко,Арсен,Олександрович,чоловіча,1971-08-24,Кінокритик,хутір Волочиськ,"узвіз Овідіопольська дорога, буд. 562 кв. 489, Запоріжжя, 48396",+380 01 517-46-08,zhuravelvolodymyra@example.com
Нестайко,Онисим,Ігоревич,чоловіча,1970-08-04,Кушнір,селище Судак ,"провулок Дальницька, буд. 058 кв. 98, Алмазна, 73169",036 521-32-99,nosenkovarvara@example.org
Лагода,Симон,Петрович,чоловіча,1964-07-27,Геофізик,село Шумськ,"шосе Фестивальний, буд. 128, Дубляни, 40122",+380 23 528-11-63,deriazhnyimarta@example.org
Чарниш,Аліна,Миколаївна,жіноча,1997-01-25,Ді-джей,хутір Сімферополь,"узвіз Льва Толстого, буд. 28 кв. 5, Зеленодольськ, 68486",083 525-16-76,iriabchenko@example.com
Євтушенко,Ярина,Ігорівна,жіноча,1968-12-06,Медик,хутір Підгородне,"узвіз Кришталевий, буд. 8 кв. 15, Лохвиця, 05600",+380 35 355-48-19,rprokopovych@example.com
Кибкало,Панас,Васильович,чоловіча,1966-01-02,Сценарист,село Корець,"узвіз Станційна 3-тя, буд. 6, Червоносів, 78681",875-73-17,vbaranyk@example.com
Яценюк,Ігор,Федорович,чоловіча,2008-09-06,Підприємець,селище Яготин,"шосе Стєклова, буд. 98, Жмеринка, 11262",065 559 35 62,aderiazhnyi@example.net
Дубенко,Альберт,Федорович,чоловіча,1939-07-28,Дерун,село Миргород,"вулиця Грецька, буд. 8, Шаргород, 16982",037 245 29 84,vitalii45@example.com
Андрійчук,Марта,Леонідівна,жіноча,1971-06-14,Фольклорист,хутір Судак ,"провулок Чорноморський 9-й, буд. 920 кв. 3, Корець, 17004",+380 12 464-93-72,cherednykleontii@example.org
Забашта,Андрій,Леонідович,чоловіча,1994-09-08,Круп'є,місто Ромни,"проспект Шампанський, буд. 828 кв. 2, Вільнянськ, 12278",+380 51 532-16-92,kadeniukleonid@example.org
Бевз,Гордій,Максимович,чоловіча,1985-10-10,Локсмайстер,селище Ржищів,"узвіз Локомотивний 1-й, буд. 08 кв. 5, Рава-Руська, 45690",037 256-02-89,bohdannaduplii@example.org
Артюх,Симон,Павлович,чоловіча,2007-11-29,Намотувальник,село Рівне,"шосе Четверта, буд. 273, Балта, 56080",+380 60 578-15-47,maksym87@example.net
Яценко,Нестор,Федорович,чоловіча,1957-03-21,Кухар,селище Сквира,"парк Короленка, буд. 202, Житомир, 74626",018 639-37-55,zasiadkovasyl@example.net
Валенко,Владислав,Миколайович,чоловіча,1952-09-25,Режисер,хутір Бахмач,"шосе Нежданової, буд. 403 кв. 8, Енергодар, 03589",597-18-08,tivanenko@example.org
Бабійчук,Антон,Артемович,чоловіча,1979-11-19,Археолог,селище Рівне,"вулиця Азовський, буд. 414 кв. 7, Антрацит , 63911",+380 94 516-24-27,iustyna05@example.com
Жученко,Богдан,Павлович,чоловіча,1988-07-12,Громадський діяч,місто Тячів,"сквер Ковалевського узвіз, буд. 9, Миколаївка , 09272",017 669-94-14,khunko@example.net
Масляк,Ірина,Юріївна,жіноча,2000-08-21,Ріелтор,хутір Брянка,"провулок Прохоровський, буд. 3 кв. 492, Соснівка , 89929",+380 14 570-39-24,varfolomii86@example.com
Забарна,Віктор,Олександрович,чоловіча,1981-05-03,М'ясник,селище Тульчин,"узвіз Болгарська, буд. 09 кв. 976, Саки , 16552",+380 (05) 673-73-66,solomonzaiets@example.net
Приходько,Надія,Василівна,жіноча,1963-04-12,Петрограф,місто Мостиська,"узвіз Герцена, буд. 3, Дубровиця, 22542",823 25 48,tsybulenkoalevtyn@example.net
Малик,Павло,Юрійович,чоловіча,1986-11-13,Науковець,місто Татарбунари,"парк Заводська 1-ша, буд. 65, Скалат, 15848",+380 91 051-81-82,snizhanadzhun@example.org
Савенко,Степан,Вікторович,чоловіча,1954-06-11,Шериф,хутір Гуляйполе,"вулиця Безіменний, буд. 8 кв. 28, Рогатин, 58821",+380 98 263-50-27,sofiiabaidak@example.net
Шелест,Едита,Сергіївна,жіноча,1990-01-24,Випробувач,село Луцьк,"проспект Юхима Геллера, буд. 69, Першотравенськ, 04081",686 11 74,leonidbezditko@example.net
Кабаненко,Гліб,Петрович,чоловіча,1956-08-03,Антрополог,хутір Тульчин,"набережна Ширяївський, буд. 58 кв. 00, Новодружеськ, 89476",+380 66 579-20-15,ielyseialeksiichuk@example.com
Смик,Азар,Андрійович,чоловіча,1968-09-30,Кінокритик,селище Боярка,"узвіз Університетський, буд. 96, Новий Буг, 74411",052-21-21,yabramchuk@example.net
Теличенко,Едуард,Олександрович,чоловіча,2003-12-25,Геофізик,хутір Брянка,"набережна Волзький, буд. 086, Дніпро , 31015",007 32 18,valerii54@example.net
Притула,Станіслав,Романович,чоловіча,2005-04-21,Філолог,місто Монастирище,"провулок Нахімова, буд. 6, Гадяч, 15415",+380 (87) 811-46-41,havrylenkokamilla@example.com
Байда,Ілля,Сергійович,чоловіча,1961-07-22,Педагог,село Корсунь-Шевченківський,"проспект Саксаганського, буд. 3, Ізмаїл, 77188",+380 (51) 937-07-69,wdanyliuk@example.com
Терещенко,Симон,Васильович,чоловіча,2001-09-20,Кухар,селище Тараща,"шосе Амбулаторний, буд. 462, Каховка, 78548",+380 71 165 90 90,zynoviishmorhun@example.org
Абрамчук,Григорій,Павлович,чоловіча,1959-03-31,Стиліст,місто Пустомити,"набережна Лінія 28-ма, буд. 0 кв. 155, Бобровиця, 02653",+380 (84) 346-41-39,ktelizhenko@example.org
Охріменко,Руслан,Іванович,чоловіча,1997-11-23,Електротехнік,хутір Моршин,"узвіз Москеті, буд. 1 кв. 843, Батурин, 61326",926-26-56,pelekhostap@example.com
Вишняк,Герман,Максимович,чоловіча,1942-01-09,Парфюмер,місто Могилів-Подільський,"шосе Березовий, буд. 877, Енергодар, 30143",334-89-19,petrovernyhora@example.net
Шамрай,Адам,Павлович,чоловіча,1975-07-28,Державний службовець,місто Брянка,"шосе Ляпідевського, буд. 976 кв. 4, Городок, 44772",+380 99 274 97 46,kovpakieva@example.org
Сиротенко,Варфоломій,Олегович,чоловіча,1957-04-08,Науковець,місто Малин,"узвіз Митракова, буд. 520 кв. 583, Яворів, 30561",+380 (44) 762-17-11,daryna24@example.net
Андрейко,Марія,Максимівна,жіноча,1983-06-29,Біолог,хутір Бобринець,"площа Шефська, буд. 9, Ніжин, 78005",+380 09 309 99 59,qkashchenko@example.com
Деркач,Нестор,Сергійович,чоловіча,1968-02-21,Фольклорист,село Березне,"узвіз Манежний, буд. 1, Бобровиця, 22159",029 601-08-64,tytarenkopanas@example.org
Іванченко,Маруся,Олегівна,жіноча,2001-03-06,Музикант,село Козятин,"провулок Амурський 4-й, буд. 00, Рахів, 40604",+380 (85) 041-21-53,tvasylevych@example.net
Фастенко,Тетяна,Андріївна,жіноча,1986-07-16,Драматург,місто Біляївка,"сквер Грецький, буд. 8 кв. 536, Федорівка, 61816",093 446-56-51,mshynkarenko@example.org
Франчук,Гліб,Петрович,чоловіча,1998-09-10,Музичний редактор,місто Болград,"набережна Біляївська, буд. 7, Городок, 99097",077 812-61-59,sviatoslav78@example.net
Барабаш,Емілія,Сергіївна,жіноча,1973-12-26,Кур'єр,хутір Гнівань,"площа Державіна, буд. 06, Брянка, 21151",781-83-40,shuzenko@example.org
Гоголь,Розалія,Леонідівна,жіноча,1957-01-14,Швачка,селище Луганськ,"сквер Коблевська, буд. 9, Кам'янець-Подільський, 98509",+380 (14) 163-93-15,fievtushok@example.org
Ребрик,Охрім,Олегович,чоловіча,1973-09-08,Мірошник,хутір Долинська,"площа Солонцюватий, буд. 6 кв. 8, Привілля, 88768",012 846 28 74,ekhrystych@example.net
Шухевич,Давид,Леонідович,чоловіча,1939-07-16,Стиліст,хутір Щастя ,"сквер Скрипковий, буд. 02 кв. 6, Корюківка, 91065",+380 91 325-03-60,ostapchukkhrystyna@example.com
Бандера,Олекса,Олегович,чоловіча,1946-04-15,Машиніст,селище Ходорів,"проспект Планетна, буд. 034 кв. 0, Середина-Буда, 58923",+380 60 472-10-84,tovstukhaspas@example.org
Сич,Андрій,Іванович,чоловіча,1949-08-30,Ветеринар,хутір Хмельницький,"парк Щоглова, буд. 04 кв. 37, Докучаєвськ, 90140",+380 34 829-41-09,pylypvlokh@example.com
Павленко,Златослава,Геннадіївна,жіноча,1988-02-02,Складальник,селище Калуш,"проспект Волзький, буд. 25 кв. 729, Ірміно, 64968",+380 49 187-86-66,hievdokymenko@example.com
Гавриленко,Августин,Артемович,чоловіча,1952-11-17,Кушнір,місто Знам'янка,"узвіз Подільська, буд. 31 кв. 86, Вишневе , 34565",+380 58 234-02-71,ztsushko@example.net
Гайдамака,Валентин,Вікторович,чоловіча,1976-06-29,Гицель,хутір Міусинськ,"проспект Старосінна, буд. 18 кв. 42, Луганськ, 11265",+380 72 348-23-63,orysiakonoplenko@example.com
Ющенко,Ірина,Олександрівна,жіноча,1964-10-13,Клоун,місто Роздільна,"сквер 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 60, Ічня, 82803",723 07 61,bohodar22@example.net
Рева,Юстим,Андрійович,чоловіча,1950-07-19,Будник,селище Угнів,"площа Педагогічна, буд. 25, Вашківці, 22726",205-96-82,omelian18@example.org
Мазепа,Розалія,Максимівна,жіноча,1943-06-10,Ріелтор,село Трускавець,"сквер Олександра Блока, буд. 9, Моршин, 58600",094 869-30-02,havrylivamvrosii@example.org
